No,file,lang,function,finishd?,need,
1,FRONT,LAP,PMINITIALIZE ,,,
2,FRONT,LAP,INIT_CHAR ,,,
3,FRONT,LAP,INIT_DICTIO ,,,
4,FRONT,LAP,MARK ,,,
5,FRONT,LAP,SET_VAL ,,,
6,FRONT,LAP,EQUATE ,,,
7,FRONT,LAP,STORE_IDIOM ,,,
8,FRONT,LAP,STORE_PAT ,,,
9,FRONT,LAP,ADDPROP ,,,
10,FRONT,LAP,GET_CHUCK ,,,
11,FRONT,LAP,OPEN_DISK ,,,
12,FRONT,LAP,READUPTO ,,,
13,FRONT,LAP,CLOSE_DISK ,,,
14,FRONT,LAP,GET_QUESTION ,,,
15,FRONT,LAP,READ_TOKEN ,,,
16,FRONT,LAP,READ_CLEAN ,,,
17,FRONT,LAP,GET_SAFE ,,,
18,FRONT,LAP,FIND_WORDS ,,,
19,FRONT,LAP,FIND_WORD ,,,
20,FRONT,LAP,DE_SUFFIX ,,,
21,FRONT,LAP,ROOT_VAL ,,,
22,FRONT,LAP,RE_SPELL ,,,
23,FRONT,LAP,NEXT_KEY ,,,
24,FRONT,LAP,TRANSPOSE ,,,
25,FRONT,LAP,LEARN ,,,
26,FRONT,LAP,GET_INP ,,,
27,FRONT,LAP,FPRINT ,,,
28,FRONT,LAP,CANONIZE ,,,
29,FRONT,LAP,IDIOM_VAL ,,,
30,FRONT,LAP,SAME ,,,
31,FRONT,LAP,SEGMENT ,,,
32,FRONT,LAP,SEGMENT1,,,
33,FRONT,LAP,WRITE_SP ,,,
34,FRONT,LAP,WRITE_CP ,,,
35,FRONT,LAP,TRANSLATE ,,,
36,FRONT,LAP,MATCH ,,,
37,FRONT,LAP,DE_FLAG ,,,
38,FRONT,LAP,ANAPH_REF ,,,
39,FRONT,LAP,DROP_ONE ,,,
40,FRONT,LAP,DROP_ONE_REV ,,,
41,FRONT,LAP,DE_FILL ,,,
42,FRONT,LAP,GET_NAME ,,,
43,FRONT,LAP,FIRST_LAMBDA ,,,
44,FRONT,LAP,WINDOW ,,,
45,FRONT,LAP,WINDOWSET ,,,
46,FRONT,LAP,WINDOW_PRINT ,,,
47,FRONT,LAP,CYCLE ,,,
48,FRONT,LAP,TEST_PATTERN ,,,
49,FRONT,LAP,RUN ,,,
50,OPAR3,mlisp,TEN ,1,,
51,OPAR3,mlisp,EIGHT ,1,,
52,OPAR3,mlisp,LAPIN,1,,
53,OPAR3,mlisp,OPARINITIALIZE ,1,,
54,OPAR3,mlisp,CHECKFLARE ,1,,
55,OPAR3,mlisp,DELREF ,1,,
56,OPAR3,mlisp,DELSTMT ,1,,
57,OPAR3,mlisp,FLAREREF ,1,,
58,OPAR3,mlisp,ASCAN ,1,,
59,OPAR3,mlisp,CHOOSE ,1,,
60,OPAR3,mlisp,CHOOSEDEL ,1,,
61,OPAR3,mlisp,DELCHECK ,1,,
62,OPAR3,mlisp,DELETE ,1,,
63,OPAR3,mlisp,DELETEP ,1,,
64,OPAR3,mlisp,FIXPTRS ,1,,
65,OPAR3,mlisp,FLRECORD ,1,,
66,OPAR3,mlisp,FLMOD ,1,,
67,OPAR3,mlisp,FLARELEAD ,1,,
68,OPAR3,mlisp,FLSTMT ,1,,
69,OPAR3,mlisp,LEADON ,1,,
70,OPAR3,mlisp,MEMBER3,1,,
71,OPAR3,mlisp,MISCQ ,1,,
72,OPAR3,mlisp,MISCS ,1,,
73,OPAR3,mlisp,MODIFVAR ,1,,
74,OPAR3,mlisp,MAX ,1,,
75,PMEM,mlisp,LAMBDANAME ,1,,
76,PMEM,mlisp,ALPHANAME ,1,,
77,PMEM,mlisp,READLAMBDA ,1,,
78,PMEM,mlisp,DISKREAD ,1,,
79,PMEM,mlisp,DISKREAD2,1,,
80,PMEM,mlisp,CARN ,1,,
81,PMEM,mlisp,BEL ,1,,
82,PMEM,mlisp,ENG ,1,,
83,PMEM,mlisp,REPLYR ,1,,
